,Question,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
0,Q73,4.0,14.0,0.0,2.0,20.0,0.9,0.3,0.2,1.0,2.33,0.67,0.0,0.67,0.62,0.45,0.29,0.88,0.72,0.45,,The repository is important,Project,Importance
1,Q97,6.0,13.0,1.0,0.0,20.0,0.95,0.3,0.35,0.86,1.86,1.0,0.07,0.86,0.56,0.7,0.36,0.88,0.93,0.67,,I enjoy trying to solve complex problems,Person,Joy
2,Q72,5.0,13.0,1.0,1.0,20.0,0.9,0.3,0.3,0.83,1.78,0.83,0.07,0.71,0.58,0.55,0.29,0.88,0.88,0.43,,I derive satisfaction from working on this repository,Person in Project,Joy
3,Q69,4.0,13.0,1.0,2.0,20.0,0.85,0.3,0.25,0.8,1.67,0.67,0.07,0.57,0.6,0.42,0.21,0.88,0.81,0.28,,"I wish that certain developers in the repository will leave. If you are the only developer in the project, please skip.",Person in Project,Hostility
4,Q78,3.0,13.0,1.0,3.0,20.0,0.8,0.3,0.2,0.75,1.5,0.5,0.07,0.43,0.62,0.29,0.14,0.88,0.72,0.16,,I am a core member of the repository,Person in Project,Ownership
5,Is_Paid,2.0,13.0,1.0,4.0,20.0,0.75,0.3,0.15,0.67,1.22,0.33,0.07,0.29,0.64,0.17,0.07,0.88,0.61,0.07,,Is_Paid,Person in Project,Payment
6,Q74,4.0,12.0,2.0,2.0,20.0,0.8,0.3,0.3,0.67,1.22,0.67,0.14,0.5,0.58,0.38,0.14,0.88,0.88,0.19,,"When I look at what we accomplish, I feel a sense of pride",Person in Project,
7,Q96.1,2.0,13.0,1.0,4.0,20.0,0.75,0.3,0.15,0.67,1.22,0.33,0.07,0.29,0.64,0.17,0.07,0.88,0.61,0.07,,"In the past year, members of my GitHub community made demeaning or derogatory remarks about me. If you are the only developer in the project, please skip.",Person in Project,Hostility
8,Q89,5.0,11.0,3.0,1.0,20.0,0.8,0.3,0.4,0.62,1.08,0.83,0.21,0.56,0.54,0.48,0.14,0.88,0.97,0.25,,I am satisfied with my performance in software development,Person,
9,Q94,5.0,11.0,3.0,1.0,20.0,0.8,0.3,0.4,0.62,1.08,0.83,0.21,0.56,0.54,0.48,0.14,0.88,0.97,0.25,,I write detailed commit messages,Person,
