,Enjoyment,Challenge,Recognition,Community,Hostility,Importance,Payment,Ownership,Learning,Self-use,Ideology,Motivation
Enjoyment,1.0,0.3282475401952763,0.1657037611481769,0.399111161002178,-0.060604408252076324,0.24920337519755176,0.0019020470697800173,0.4152298002403079,0.32271982285849526,0.1644616774046582,0.1535058831385894,0.5082420687325068
Challenge,0.3282475401952763,1.0,0.15284712430201172,0.2992404148156208,0.10909724595294518,0.2930406342091571,0.13697922666193052,0.1581623189297466,0.24509445528999207,0.061315697736536584,0.01203013480588512,0.2987300944773671
Recognition,0.1657037611481769,0.15284712430201172,1.0,0.7309789634952765,0.059130787502713916,0.3890876889232854,0.1284568589097127,0.10194077060424649,0.22813543629273503,-0.051029876928452865,0.2902195302653231,0.26920119154437916
Community,0.399111161002178,0.2992404148156208,0.7309789634952765,1.0,0.08029585850752803,0.4952370458669904,0.23499004947455182,0.10184659548743086,0.3449645501345668,-0.018011732443399223,0.20949149405079887,0.4227910304792606
Hostility,-0.060604408252076324,0.10909724595294518,0.059130787502713916,0.08029585850752803,1.0,0.10533585685586376,-0.010033463777610217,-0.03607425406147591,0.027318334604698104,0.042532238318111995,0.0060138056096593045,0.008180761457698232
Importance,0.24920337519755176,0.2930406342091571,0.3890876889232854,0.4952370458669904,0.10533585685586376,1.0,0.25975667087619997,0.04755737129273994,0.19139900283565642,0.011676278816255273,0.10055718318097116,0.34781664457953804
Payment,0.0019020470697800173,0.13697922666193052,0.1284568589097127,0.23499004947455182,-0.010033463777610217,0.25975667087619997,1.0,-0.014381174114387236,0.10707983354754227,-0.33211188609812514,-0.082264886569054,0.15301479603815474
Ownership,0.4152298002403079,0.1581623189297466,0.10194077060424649,0.10184659548743086,-0.03607425406147591,0.04755737129273994,-0.014381174114387236,1.0,0.08270476632795051,0.1892596946465571,0.08480375494004182,0.24231765195904337
Learning,0.32271982285849526,0.24509445528999207,0.22813543629273503,0.3449645501345668,0.027318334604698104,0.19139900283565642,0.10707983354754227,0.08270476632795051,1.0,0.0883161569236508,0.12263516387053246,0.23411810576623174
Self-use,0.1644616774046582,0.061315697736536584,-0.051029876928452865,-0.018011732443399223,0.042532238318111995,0.011676278816255273,-0.33211188609812514,0.1892596946465571,0.0883161569236508,1.0,0.09470228704306731,0.1639132734000831
Ideology,0.1535058831385894,0.01203013480588512,0.2902195302653231,0.20949149405079887,0.0060138056096593045,0.10055718318097116,-0.082264886569054,0.08480375494004182,0.12263516387053246,0.09470228704306731,1.0,0.14042294619261508
Motivation,0.5082420687325068,0.2987300944773671,0.26920119154437916,0.4227910304792606,0.008180761457698232,0.34781664457953804,0.15301479603815474,0.24231765195904337,0.23411810576623174,0.1639132734000831,0.14042294619261508,1.0
