,Question,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
0,Q78,3.0,46.0,2.0,9.0,60.0,0.82,0.2,0.08,0.6,2.0,0.25,0.04,0.21,0.75,0.09,0.02,0.72,0.41,0.05,,I am a core member of the repository,Person in Project,Ownership
1,Q98.1,5.0,44.0,4.0,7.0,60.0,0.82,0.2,0.15,0.56,1.78,0.42,0.08,0.31,0.71,0.15,0.02,0.72,0.61,0.08,,"In the past year, members of my GitHub community expressed interest in my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
2,Q101,6.0,43.0,5.0,6.0,60.0,0.82,0.2,0.18,0.55,1.73,0.5,0.1,0.35,0.69,0.18,0.02,0.72,0.69,0.1,,I feel responsible to the repository success,Person in Project,Ownership
3,Q83.1,4.0,44.0,4.0,8.0,60.0,0.8,0.2,0.13,0.5,1.5,0.33,0.08,0.25,0.72,0.11,0.0,0.72,0.57,0.05,,"The repository’s community of developers is more motivated than that of other repositories. If you are the only developer in the project, please skip.",Project,Community
4,Q72,8.0,40.0,8.0,4.0,60.0,0.8,0.2,0.27,0.5,1.5,0.67,0.17,0.4,0.64,0.25,0.0,0.72,0.84,0.13,,I derive satisfaction from working on this repository,Person in Project,Enjoyment
5,Q97.1,5.0,43.0,5.0,7.0,60.0,0.8,0.2,0.17,0.5,1.5,0.42,0.1,0.29,0.7,0.14,0.0,0.72,0.65,0.07,,"In the past year, members of my GitHub community asked questions that show their understanding of my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
6,Q67,6.0,41.0,7.0,6.0,60.0,0.78,0.2,0.22,0.46,1.31,0.5,0.15,0.32,0.67,0.17,-0.02,0.72,0.75,0.07,,I’m interested in the repository for my own needs,Person in Project,Self-use
7,Q84.1,5.0,42.0,6.0,7.0,60.0,0.78,0.2,0.18,0.45,1.27,0.42,0.12,0.28,0.69,0.14,-0.02,0.72,0.69,0.06,,My personal motivation in this repository has increased since a year ago,Person in Project,
8,Q102,5.0,42.0,6.0,7.0,60.0,0.78,0.2,0.18,0.45,1.27,0.42,0.12,0.28,0.69,0.14,-0.02,0.72,0.69,0.06,,I have significant influence on the repository,Person in Project,Ownership
9,Q76,3.0,44.0,4.0,9.0,60.0,0.78,0.2,0.12,0.43,1.14,0.25,0.08,0.19,0.73,0.07,-0.02,0.72,0.52,0.03,,"The community is very professional. If you are the only developer in the project, please skip.",Project,Community
10,Q93,6.0,39.0,9.0,6.0,60.0,0.75,0.2,0.25,0.4,1.0,0.5,0.19,0.29,0.65,0.15,-0.06,0.72,0.81,0.05,,I write tests for my code,Person,
