,index,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
0,Q95.1,2.0,49.0,0.0,20.0,71.0,0.72,0.31,0.03,1.0,2.23,0.09,0.0,0.09,0.68,0.06,0.04,0.89,0.19,0.05,,"In the past year, members of my GitHub community put me down or were condescending to me. If you are the only developer in the project, please skip.",Person in Project,Hostility
1,Q96.1,3.0,46.0,1.0,20.0,70.0,0.7,0.33,0.06,0.75,1.28,0.13,0.02,0.12,0.65,0.07,0.04,0.91,0.32,0.03,,"In the past year, members of my GitHub community made demeaning or derogatory remarks about me. If you are the only developer in the project, please skip.",Person in Project,Hostility
2,Q84.1,10.0,61.0,4.0,26.0,101.0,0.7,0.36,0.14,0.71,1.0,0.28,0.06,0.25,0.6,0.16,0.09,0.94,0.58,0.06,,My personal motivation in this repository has increased since a year ago,Person in Project,
3,Q83.1,6.0,42.0,5.0,16.0,69.0,0.7,0.32,0.16,0.55,0.71,0.27,0.11,0.22,0.62,0.12,0.02,0.9,0.63,0.03,,"The repository’s community of developers is more motivated than that of other repositories. If you are the only developer in the project, please skip.",Project,Community
4,Q73,32.0,38.0,28.0,4.0,102.0,0.69,0.35,0.59,0.53,0.51,0.89,0.42,0.5,0.47,0.45,0.06,0.94,0.98,0.16,,The repository is important,Project,Importance
5,Q98.1,16.0,29.0,18.0,6.0,69.0,0.65,0.32,0.49,0.47,0.48,0.73,0.38,0.4,0.5,0.3,-0.04,0.9,1.0,0.08,,"In the past year, members of my GitHub community expressed interest in my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
6,Q72,35.0,33.0,33.0,1.0,102.0,0.67,0.35,0.67,0.51,0.46,0.97,0.5,0.51,0.45,0.48,0.03,0.94,0.92,0.21,,I derive satisfaction from working on this repository,Person in Project,Enjoyment
7,Q82,24.0,43.0,22.0,12.0,101.0,0.66,0.36,0.46,0.52,0.46,0.67,0.34,0.41,0.51,0.29,0.03,0.94,0.99,0.07,,Code quality in the repository improved since a year ago,Project,
8,Q84,22.0,45.0,21.0,14.0,102.0,0.66,0.35,0.42,0.51,0.45,0.61,0.32,0.39,0.52,0.26,0.02,0.94,0.98,0.06,,I regularly reach a high level of productivity,Person,
9,Q98,20.0,46.0,20.0,16.0,102.0,0.65,0.35,0.39,0.5,0.42,0.56,0.3,0.36,0.53,0.22,0.0,0.94,0.97,0.04,,I contribute to open source in order to become a better programmer,Person,
