,Enjoyment,Challenge,Recognition,Community,Hostility,Importance,Payment,Ownership,Learning,Self-use,Ideology,Motivation
Enjoyment,1.0,0.317721498258372,0.2327831390509065,0.4193324687997008,-0.03949440503775316,0.31440944463083687,,0.36021134251813297,0.28965722758131696,0.20937520520770106,0.22454329768184597,0.4832176824761345
Challenge,0.317721498258372,1.0,0.1854276136299148,0.2544993077266493,0.13317917795163306,0.4497591584232099,,0.1544975899256966,0.2301566522541163,0.10995580357598143,-0.04815454026057714,0.33946212327659964
Recognition,0.2327831390509065,0.1854276136299148,1.0,0.6561769715586496,0.05194261334563737,0.2456001164397555,,0.12901777283145802,0.23546779450695432,0.06126099736174517,0.34522989132125814,0.18264150151037725
Community,0.4193324687997008,0.2544993077266493,0.6561769715586496,1.0,0.03468204623604025,0.38498269884934616,,0.17477905086219475,0.33089790208064174,0.14033987286813085,0.1914570624846544,0.38316575333377983
Hostility,-0.03949440503775316,0.13317917795163306,0.05194261334563737,0.03468204623604025,1.0,0.028749867287046874,,-0.004317952409109479,0.03765567693259834,0.12578237189395655,0.09653210707395718,-0.02441350565376713
Importance,0.31440944463083687,0.4497591584232099,0.2456001164397555,0.38498269884934616,0.028749867287046874,1.0,,0.150933317850507,0.27084863527701747,0.14616719548459173,0.02853987392795876,0.36026500527624417
Payment,,,,,,,,,,,,
Ownership,0.36021134251813297,0.1544975899256966,0.12901777283145802,0.17477905086219475,-0.004317952409109479,0.150933317850507,,1.0,0.04358330089016674,0.28471793716589316,-0.008331843105601786,0.2704801336411546
Learning,0.28965722758131696,0.2301566522541163,0.23546779450695432,0.33089790208064174,0.03765567693259834,0.27084863527701747,,0.04358330089016674,1.0,0.149864946130333,0.05563527581422343,0.2381931947688509
Self-use,0.20937520520770106,0.10995580357598143,0.06126099736174517,0.14033987286813085,0.12578237189395655,0.14616719548459173,,0.28471793716589316,0.149864946130333,1.0,0.10810857219813526,0.25487840816364254
Ideology,0.22454329768184597,-0.04815454026057714,0.34522989132125814,0.1914570624846544,0.09653210707395718,0.02853987392795876,,-0.008331843105601786,0.05563527581422343,0.10810857219813526,1.0,0.0832648756023132
Motivation,0.4832176824761345,0.33946212327659964,0.18264150151037725,0.38316575333377983,-0.02441350565376713,0.36026500527624417,,0.2704801336411546,0.2381931947688509,0.25487840816364254,0.0832648756023132,1.0
