Question,Pearson,diff_avg,diff_std,relative_diff_avg,relative_diff_std,abs_diff_avg,abs_diff_std,abs_relative_diff_avg,pred_05,pred_25,pred_50,Question Text,question_type,motivation_type,ind_pred_25,pred_25_lift
Q61_1,0.9985953593618249,1.3695652173913044,0.6095060168210507,0.04088605513147967,0.02311189813965924,1.3695652173913044,0.6095060168210507,0.02311189813965924,0.6382978723404256,0.9787234042553191,0.9787234042553191,Age,Person,,0.4525156550313101,1.162849822704145
Q65_1,0.8358077889600862,0.9333333333333333,1.7888543819998317,0.29896665063331723,0.5106945706958921,1.6888888888888889,1.0833916068243161,0.4572911967854252,0.0851063829787234,0.44680851063829785,0.6382978723404256,Years of contribution to GitHub - Click to write Choice 1,Person,,0.1932544862413142,1.3120214145009512
Q96.1,0.8264255867087716,0.1875,1.1760376338064324,0.20416666666666666,0.6112886675912192,0.5,1.0776318121606494,0.5767252440880829,0.5106382978723404,0.5106382978723404,0.5106382978723404,"In the past year, members of my GitHub community made demeaning or derogatory remarks about me. If you are the only developer in the project, please skip.",Person in Project,Hostility,0.5055169550173009,0.010130902246125926
Q93,0.8152144597035692,-0.2127659574468085,1.7312494886235752,0.04063660925363054,0.39831803179471315,1.1063829787234043,1.3389490127836878,0.3324896185944673,0.3829787234042553,0.6808510638297872,0.851063829787234,I write tests for my code,Person,,0.4212356237212474,0.6163188141949274
Q81,0.7861833253818765,0.28888888888888886,1.342017176123354,0.07273849607182939,0.23012144113917302,0.7777777777777778,1.1259115274641998,0.20536120636393904,0.5531914893617021,0.7659574468085106,0.8723404255319149,The quality of the code in this repository is better than others,Project,,0.3895176308498236,0.9664256150290187
Q91,0.7516201823436474,-0.1956521739130435,1.107942341407737,-0.012914862914862912,0.13731614060729655,0.8043478260869565,0.7780192861760149,0.10229384937054857,0.3617021276595745,0.9148936170212766,0.9574468085106383,I enjoy software development very much,Person,Enjoyment,0.7286630436041237,0.2555784529650585
Q102,0.7311522419728893,-0.2826086956521739,1.3607684671743532,-0.012620772946859902,0.2099888241958203,0.7608695652173914,1.158251222196552,0.18492098714489427,0.5531914893617021,0.8723404255319149,0.9361702127659575,I have significant influence on the repository,Person in Project,Ownership,0.5866863905325443,0.48689391744723787
Q34,0.7130931603170647,-0.08888888888888889,2.1301112030534313,0.06870049703383037,0.4488333397957187,1.2444444444444445,1.720934676742892,0.40063626615541237,0.44680851063829785,0.723404255319149,0.851063829787234,I have complete autonomy in contributing to the repository,Person in Project,Ownership,0.4784476975596666,0.5119818927102981
Q101,0.7026952955072862,-0.5869565217391305,1.3916590731373149,-0.050907365581278625,0.14627975389591188,0.9782608695652174,1.1448266328679078,0.1180027843533578,0.3829787234042553,0.9148936170212766,0.9574468085106383,I feel responsible to the repository success,Person in Project,Ownership,0.62943039267006,0.4535262797531499
Q87,0.6970965302290605,0.17391304347826086,1.3383961849266037,0.05303030303030303,0.22819584941525348,0.9130434782608695,0.9849103051439476,0.19632537437739447,0.3829787234042553,0.8723404255319149,0.9148936170212766,I am skilled in software development,Person,,0.6158182094172906,0.4165551005017453
