,Enjoyment,Challenge,Recognition,Community,Hostility,Importance,Payment,Ownership,Learning,Self-use,Ideology,Motivation
Enjoyment,1.0,0.3343272234367842,0.24321880124693868,0.3743912674654869,-0.02408916208800515,0.22915853777487422,-0.028103489424963022,0.36308792004672186,0.33975696442076747,0.16017580253850536,0.18141013804295994,0.5032622259793671
Challenge,0.3343272234367842,1.0,0.17733958475952008,0.3189386986999735,0.1195694852874107,0.2774914323984471,0.10266153029446964,0.07880026823736659,0.22062843249014474,0.05885365899361121,0.0657685421703271,0.2531014081772051
Recognition,0.24321880124693868,0.17733958475952008,1.0,0.7244604421485632,0.07489692215351376,0.3869094068810132,0.16389019593487486,0.018600039896016083,0.15658832667059644,-0.06691374925868983,0.1517447293323303,0.2686034237797633
Community,0.3743912674654869,0.3189386986999735,0.7244604421485632,1.0,0.12359058460303064,0.46902207666706386,0.23217033432857756,0.012060349663282942,0.27861235687771807,-0.052425662542332344,0.22964295255152437,0.40469494511651644
Hostility,-0.02408916208800515,0.1195694852874107,0.07489692215351376,0.12359058460303064,1.0,0.09706368646897834,0.026137315060161925,-0.02147924916015682,-0.0009946028808727402,0.07733497906687758,-0.003747923856018718,0.03544192817121005
Importance,0.22915853777487422,0.2774914323984471,0.3869094068810132,0.46902207666706386,0.09706368646897834,1.0,0.22936429623966495,-0.04560987733349664,0.12455481036269372,0.0012250851054264858,0.10952851051416596,0.4020479177669359
Payment,-0.028103489424963022,0.10266153029446964,0.16389019593487486,0.23217033432857756,0.026137315060161925,0.22936429623966495,1.0,-0.09284813961086964,0.06682382006430197,-0.2766426158955081,0.02895374882940887,0.21011030481615992
Ownership,0.36308792004672186,0.07880026823736659,0.018600039896016083,0.012060349663282942,-0.02147924916015682,-0.04560987733349664,-0.09284813961086964,1.0,0.01059296464154402,0.19133315312221527,0.09105971748796383,0.18887424114179266
Learning,0.33975696442076747,0.22062843249014474,0.15658832667059644,0.27861235687771807,-0.0009946028808727402,0.12455481036269372,0.06682382006430197,0.01059296464154402,1.0,0.10695957152835454,0.15144488647583124,0.25449947404598394
Self-use,0.16017580253850536,0.05885365899361121,-0.06691374925868983,-0.052425662542332344,0.07733497906687758,0.0012250851054264858,-0.2766426158955081,0.19133315312221527,0.10695957152835454,1.0,0.06405433023927211,0.1101616273562341
Ideology,0.18141013804295994,0.0657685421703271,0.1517447293323303,0.22964295255152437,-0.003747923856018718,0.10952851051416596,0.02895374882940887,0.09105971748796383,0.15144488647583124,0.06405433023927211,1.0,0.21442103413736338
Motivation,0.5032622259793671,0.2531014081772051,0.2686034237797633,0.40469494511651644,0.03544192817121005,0.4020479177669359,0.21011030481615992,0.18887424114179266,0.25449947404598394,0.1101616273562341,0.21442103413736338,1.0
