,index,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
0,Q84.1,147.0,200.0,45.0,122.0,514.0,0.68,0.52,0.37,0.77,0.46,0.55,0.18,0.47,0.49,0.37,0.29,1.0,0.95,0.11,,My personal motivation in this repository has increased since a year ago,Person in Project,
1,Q83.1,69.0,179.0,28.0,134.0,410.0,0.6,0.5,0.24,0.71,0.44,0.34,0.14,0.3,0.5,0.2,0.2,1.0,0.79,0.04,,"The repository’s community of developers is more motivated than that of other repositories. If you are the only developer in the project, please skip.",Project,Community
2,Q68,27.0,198.0,13.0,178.0,416.0,0.54,0.49,0.1,0.68,0.37,0.13,0.06,0.12,0.51,0.07,0.07,1.0,0.46,0.01,,"We have many heated arguments in the community. If you are the only developer in the project, please skip.",Project,Hostility
3,Q96.1,13.0,205.0,6.0,197.0,421.0,0.52,0.5,0.05,0.68,0.37,0.06,0.03,0.06,0.5,0.03,0.03,1.0,0.27,0.0,,"In the past year, members of my GitHub community made demeaning or derogatory remarks about me. If you are the only developer in the project, please skip.",Person in Project,Hostility
4,Q95.1,13.0,205.0,6.0,197.0,421.0,0.52,0.5,0.05,0.68,0.37,0.06,0.03,0.06,0.5,0.03,0.03,1.0,0.27,0.0,,"In the past year, members of my GitHub community put me down or were condescending to me. If you are the only developer in the project, please skip.",Person in Project,Hostility
5,Q75,114.0,154.0,54.0,92.0,414.0,0.65,0.5,0.41,0.68,0.36,0.55,0.26,0.44,0.5,0.29,0.29,1.0,0.97,0.07,,"Belonging to the  community is motivating my work on the repository. If you are the only developer in the project, please skip.",Person in Project,Community
6,Q84,159.0,174.0,73.0,111.0,517.0,0.64,0.52,0.45,0.69,0.31,0.59,0.3,0.46,0.5,0.29,0.23,1.0,0.99,0.06,,I regularly reach a high level of productivity,Person,
7,Q70,201.0,149.0,97.0,70.0,517.0,0.68,0.52,0.58,0.67,0.29,0.74,0.39,0.55,0.5,0.34,0.29,1.0,0.98,0.09,,My work on the repository is creative,Person in Project,Enjoyment
8,Q72,246.0,122.0,125.0,25.0,518.0,0.71,0.52,0.72,0.66,0.27,0.91,0.51,0.62,0.51,0.39,0.36,1.0,0.86,0.15,,I derive satisfaction from working on this repository,Person in Project,Enjoyment
9,Q89,177.0,158.0,89.0,95.0,519.0,0.65,0.52,0.51,0.67,0.27,0.65,0.36,0.49,0.5,0.29,0.23,1.0,1.0,0.06,,I am satisfied with my performance in software development,Person,
10,Q76,144.0,119.0,91.0,61.0,415.0,0.63,0.49,0.57,0.61,0.24,0.7,0.43,0.49,0.5,0.27,0.25,1.0,0.99,0.05,,"The community is very professional. If you are the only developer in the project, please skip.",Project,Community
11,Q77,176.0,151.0,94.0,94.0,515.0,0.63,0.52,0.52,0.65,0.24,0.65,0.38,0.48,0.5,0.27,0.21,1.0,1.0,0.05,,I get recognition due to my contribution to the repository,Person in Project,Recognition
12,Q82,193.0,141.0,105.0,76.0,515.0,0.65,0.52,0.58,0.65,0.24,0.72,0.43,0.52,0.5,0.29,0.24,1.0,0.98,0.06,,Code quality in the repository improved since a year ago,Project,
13,Q65_1,54.0,189.0,30.0,185.0,458.0,0.53,0.52,0.18,0.64,0.23,0.23,0.14,0.2,0.49,0.09,0.02,1.0,0.69,0.01,,Years of contribution to GitHub - Click to write Choice 1,Person,
14,Q97.1,130.0,125.0,85.0,75.0,415.0,0.61,0.49,0.52,0.6,0.22,0.63,0.4,0.45,0.5,0.23,0.21,1.0,1.0,0.04,,"In the past year, members of my GitHub community asked questions that show their understanding of my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
